17:24:28.285 [main] INFO  api.test.UserTests - ******creating user*********
17:24:51.146 [main] INFO  api.test.UserTests - ******user created*********
17:24:51.323 [main] INFO  api.test.UserTests - ******getting user*********
17:25:04.429 [main] INFO  api.test.UserTests - ******user updated*********
17:25:04.445 [main] INFO  api.test.UserTests - ******deleting user*********
17:25:06.141 [main] INFO  api.test.UserTests - ******user deleted*********
12:47:09.940 [main] INFO  api.test.UserTests2 - ******creating user*********
12:47:24.403 [main] INFO  api.test.UserTests2 - ******user created*********
12:47:24.526 [main] INFO  api.test.UserTests2 - ******getting user*********
12:47:34.896 [main] INFO  api.test.UserTests2 - ******user updated*********
12:47:34.920 [main] INFO  api.test.UserTests2 - ******deleting user*********
12:47:36.626 [main] INFO  api.test.UserTests2 - ******user deleted*********
13:00:00.194 [main] INFO  api.test.UserTests2 - ******creating user*********
13:00:19.856 [main] INFO  api.test.UserTests2 - ******user created*********
13:00:19.949 [main] INFO  api.test.UserTests2 - ******getting user*********
13:00:28.443 [main] INFO  api.test.UserTests2 - ******user updated*********
13:00:28.461 [main] INFO  api.test.UserTests2 - ******deleting user*********
13:00:30.205 [main] INFO  api.test.UserTests2 - ******user deleted*********
13:04:18.178 [main] INFO  api.test.UserTests2 - ******creating user*********
13:04:29.865 [main] INFO  api.test.UserTests2 - ******user created*********
13:04:29.936 [main] INFO  api.test.UserTests2 - ******getting user*********
13:04:38.397 [main] INFO  api.test.UserTests2 - ******user updated*********
13:04:38.409 [main] INFO  api.test.UserTests2 - ******deleting user*********
13:04:40.077 [main] INFO  api.test.UserTests2 - ******user deleted*********
13:22:21.504 [main] INFO  api.test.UserTests2 - ******creating user*********
13:22:43.561 [main] INFO  api.test.UserTests2 - ******user created*********
13:22:43.711 [main] INFO  api.test.UserTests2 - ******getting user*********
13:22:56.952 [main] INFO  api.test.UserTests2 - ******user updated*********
13:22:56.960 [main] INFO  api.test.UserTests2 - ******deleting user*********
13:22:58.656 [main] INFO  api.test.UserTests2 - ******user deleted*********
